Wall time,Step,Value
,64881,0.2207
,64931,0.2209
,64981,0.2206
,65031,0.2193
,65081,0.2208
,65131,0.2217
,65181,0.2199
,65231,0.2199
,65281,0.2207
,65331,0.2206
,65381,0.2201
,65431,0.2199
,65481,0.221
,65531,0.2216
,65581,0.2207
,65631,0.2203
,65681,0.2231
,65731,0.2241
,65781,0.2239
,65831,0.2249
,65881,0.227
,65931,0.2279
,65981,0.23
,66031,0.23
,66081,0.2296
,66131,0.2294
,66181,0.2289
,66231,0.2283
,66281,0.2282
,66331,0.2277
,66381,0.2276
,66431,0.227
,66481,0.2263
,66531,0.2264
,66581,0.2258
,66631,0.2253
,66681,0.2245
,66731,0.2245
,66781,0.2255
,66831,0.2258
,66881,0.2256
,66931,0.2246
,66981,0.2243
,67031,0.2241
,67081,0.2243
,67131,0.2245
,67181,0.2249
,67231,0.2251
,67281,0.225
,67331,0.2253
,67381,0.2249
,67431,0.2243
,67481,0.2243
,67531,0.2238
,67581,0.223
,67631,0.2226
,67681,0.2228
,67731,0.2226
,67781,0.2222
,67831,0.2219
,67881,0.2216
,67931,0.2215
,67981,0.2216
,68031,0.2215
,68081,0.2213
,68131,0.2213
,68181,0.2211
,68231,0.2212
,68281,0.2211
,68331,0.2208
,68381,0.2205
,68431,0.2202
,68481,0.2207
,68531,0.2213
,68581,0.2213
,68631,0.2211
,68681,0.2209
,68731,0.2209
,68741,0.1412
,68791,0.1949
,68841,0.2003
,68891,0.1955
,68941,0.2015
,68991,0.2036
,69041,0.2093
,69091,0.209
,69141,0.2106
,69191,0.2074
,69241,0.2067
,69291,0.206
,69341,0.2056
,69391,0.2084
,69441,0.2103
,69491,0.2095
,69541,0.2088
,69591,0.211
,69641,0.2115
,69691,0.2136
,69741,0.2153
,69791,0.2161
,69841,0.2173
,69891,0.2165
,69941,0.2145
,69991,0.2132
,70041,0.2142
,70091,0.2128
,70141,0.2133
,70191,0.2139
,70241,0.2173
,70291,0.2173
,70341,0.2178
,70391,0.2167
,70441,0.2167
,70491,0.2165
,70541,0.218
,70591,0.217
,70641,0.2172
,70691,0.2169
,70741,0.2166
,70791,0.217
,70841,0.2171
,70891,0.2174
,70941,0.217
,70991,0.2166
,71041,0.2168
,71091,0.2176
,71141,0.2167
,71191,0.2165
,71241,0.216
,71291,0.2162
,71341,0.2163
,71391,0.2175
,71441,0.2181
,71491,0.2173
,71541,0.2173
,71591,0.2179
,71641,0.218
,71691,0.2181
,71741,0.2182
,71791,0.2185
,71841,0.2191
,71891,0.2187
,71941,0.2192
,71991,0.2217
,72041,0.2227
,72091,0.2236
,72141,0.2234
,72191,0.2232
,72241,0.2233
,72291,0.2232
,72341,0.2229
,72391,0.2232
,72441,0.2225
,72491,0.2222
,72541,0.2223
,72591,0.2223
,72641,0.2227
,72691,0.2224
,72741,0.2221
,72791,0.2217
,72841,0.2216
,72891,0.2213
,72941,0.2211
,72991,0.2214
,73041,0.2218
,73091,0.2218
,73141,0.2216
,73191,0.2215
,73241,0.2216
,73291,0.221
,73341,0.2206
,73391,0.2201
,73441,0.2196
,73491,0.2198
,73541,0.2198
,73591,0.2195
,73641,0.2191
,73651,0.2687
,73701,0.1772
,73751,0.2011
,73801,0.2088
,73851,0.2011
,73901,0.2133
,73951,0.2204
,74001,0.2178
,74051,0.2141
,74101,0.2138
,74151,0.2119
,74201,0.2125
,74251,0.2117
,74301,0.2114
,74351,0.2126
,74401,0.2106
,74451,0.2081
,74501,0.2088
,74551,0.2072
,74601,0.2066
,74651,0.2055
,74701,0.2077
,74751,0.2128
,74801,0.2127
,74851,0.2145
,74901,0.2144
,74951,0.2164
,75001,0.2151
,75051,0.2182
,75101,0.2178
,75151,0.2168
,75201,0.2181
,75251,0.2169
,75301,0.2166
,75351,0.2168
,75401,0.2163
,75451,0.2172
,75501,0.2159
,75551,0.2163
,75601,0.2153
,75651,0.2156
,75701,0.2156
,75751,0.2159
,75801,0.216
,75851,0.2162
,75901,0.2158
,75951,0.2158
,76001,0.215
,76051,0.2145
,76101,0.2136
,76151,0.2131
