Step,Value
55580,0.1299
55630,0.1258
55680,0.1255
55730,0.1243
55780,0.1236
55830,0.1225
55880,0.1229
55930,0.122
55980,0.1234
56030,0.1228
56080,0.1212
56130,0.1232
56180,0.1224
56230,0.122
56280,0.1222
56330,0.1218
56380,0.1213
56430,0.1209
56480,0.1204
56530,0.1205
56580,0.1221
56630,0.1218
56680,0.1215
56730,0.1225
56780,0.1221
56830,0.1227
56880,0.1229
56930,0.123
56980,0.1229
57030,0.1229
57080,0.1229
57130,0.1226
57180,0.122
57230,0.1221
57280,0.1218
57330,0.1224
57380,0.1222
57430,0.122
57480,0.1219
57530,0.1217
57580,0.1215
57630,0.1217
57680,0.1217
57730,0.122
57780,0.1218
57830,0.1218
57880,0.1217
57930,0.1216
57980,0.1216
58030,0.1215
58080,0.1215
58130,0.1216
58180,0.1238
58230,0.1246
58280,0.1247
58330,0.1245
58380,0.1243
58430,0.1244
58480,0.1243
58530,0.1241
58580,0.1243
58630,0.1244
58680,0.1242
58730,0.124
58780,0.1243
58830,0.1244
58880,0.1246
58930,0.1247
58980,0.125
59030,0.1249
59080,0.1247
59130,0.1246
59180,0.1249
59230,0.1252
59280,0.1252
59330,0.125
59380,0.125
59430,0.1251
59480,0.1253
59530,0.1253
59580,0.1254
59630,0.1252
59680,0.1252
59730,0.1257
59780,0.1259
59830,0.126
59880,0.126
59930,0.1262
59980,0.1261
60030,0.1261
60080,0.1261
60130,0.1261
60180,0.1261
60230,0.1262
60280,0.1261
60330,0.1265
60380,0.1266
60430,0.1266
60469,0.1093
60519,0.1357
60569,0.1236
60619,0.1214
60669,0.122
60719,0.1206
60769,0.1255
60819,0.1256
60869,0.1234
60919,0.1243
60969,0.1238
61019,0.1232
61069,0.1229
61119,0.1234
61169,0.1226
61219,0.1233
61269,0.1225
61319,0.1232
61369,0.1234
61419,0.1233
61469,0.1238
61519,0.1246
61569,0.1244
61619,0.1244
61669,0.1239
61719,0.1235
61769,0.1234
61819,0.1236
61869,0.123
61919,0.1231
61969,0.1229
62019,0.1228
62069,0.1225
62119,0.1229
62169,0.1226
62219,0.1226
62269,0.122
62319,0.1219
62369,0.1221
62419,0.1216
62469,0.1213
62519,0.1215
62569,0.1215
62619,0.1215
62669,0.1218
62719,0.122
62769,0.1217
62819,0.1215
62869,0.1215
62919,0.1215
62969,0.1213
63019,0.1213
63069,0.1217
63119,0.1217
63169,0.1216
63219,0.1213
63269,0.1213
63319,0.1214
63369,0.1213
63419,0.1215
63469,0.1216
63519,0.1216
63569,0.1216
63619,0.1214
63669,0.1216
63719,0.1214
63769,0.1213
63819,0.1216
63869,0.1219
63919,0.1219
63969,0.1219
64019,0.1225
64069,0.1225
64119,0.1226
64169,0.1225
64219,0.1224
64269,0.1225
64319,0.1231
64369,0.1233
64419,0.1232
64469,0.1231
64519,0.123
64569,0.123
64619,0.1229
64669,0.1229
64719,0.1229
64769,0.1228
64819,0.1229
64869,0.1227
64919,0.1227
64969,0.1226
65019,0.1237
65069,0.1239
65119,0.1239
65169,0.124
65219,0.1241
65269,0.1241
65319,0.1242
65369,0.124
65419,0.124
65469,0.124
65508,0.1972
65558,0.1165
65608,0.1128
65658,0.1111
65708,0.1201
65758,0.1225
65808,0.1252
65858,0.1244
65908,0.1234
65958,0.1249
66008,0.1268
